"source"	"target"	"weight"	"dia"	"x"	"y"	"xend"	"yend"
"64"	"AR"	"CN"	1	2020-10-04	-63.616672	-38.416097	104.195397	35.86166
"65"	"AR"	"DE"	1	2020-10-04	-63.616672	-38.416097	10.451526	51.165691
"66"	"AR"	"DK"	1	2020-10-04	-63.616672	-38.416097	9.501785	56.26392
"67"	"AR"	"EC"	1	2020-10-04	-63.616672	-38.416097	-78.183406	-1.831239
"68"	"AR"	"ES"	8	2020-10-04	-63.616672	-38.416097	-3.74922	40.463667
"69"	"AR"	"FR"	2	2020-10-04	-63.616672	-38.416097	2.213749	46.227638
"70"	"AR"	"GB"	2	2020-10-04	-63.616672	-38.416097	-3.435973	55.378051
"71"	"AR"	"IT"	4	2020-10-04	-63.616672	-38.416097	12.56738	41.87194
"72"	"AR"	"JP"	1	2020-10-04	-63.616672	-38.416097	138.252924	36.204824
"73"	"AR"	"MA"	1	2020-10-04	-63.616672	-38.416097	-7.09262	31.791702
"74"	"AR"	"MX"	5	2020-10-04	-63.616672	-38.416097	-102.552784	23.634501
"75"	"AR"	"NG"	1	2020-10-04	-63.616672	-38.416097	8.675277	9.081999
"76"	"AR"	"NL"	1	2020-10-04	-63.616672	-38.416097	5.291266	52.132633
"77"	"AR"	"NP"	1	2020-10-04	-63.616672	-38.416097	84.124008	28.394857
"78"	"AR"	"PE"	1	2020-10-04	-63.616672	-38.416097	-75.015152	-9.189967
"79"	"AR"	"PL"	3	2020-10-04	-63.616672	-38.416097	19.145136	51.919438
"80"	"AR"	"PT"	2	2020-10-04	-63.616672	-38.416097	-8.224454	39.399872
"81"	"AR"	"SE"	3	2020-10-04	-63.616672	-38.416097	18.643501	60.128161
"82"	"AR"	"SV"	1	2020-10-04	-63.616672	-38.416097	-88.89653	13.794185
"83"	"AR"	"TN"	2	2020-10-04	-63.616672	-38.416097	9.537499	33.886917
"84"	"AR"	"TR"	2	2020-10-04	-63.616672	-38.416097	35.243322	38.963745
"85"	"AR"	"US"	69	2020-10-04	-63.616672	-38.416097	-95.712891	37.09024
"86"	"AR"	"UY"	9	2020-10-04	-63.616672	-38.416097	-55.765835	-32.522779
"87"	"AR"	"VE"	5	2020-10-04	-63.616672	-38.416097	-66.58973	6.42375
"88"	"AR"	"VN"	2	2020-10-04	-63.616672	-38.416097	108.277199	14.058324
"89"	"AR"	"XK"	1	2020-10-04	-63.616672	-38.416097	20.902977	42.602636
"90"	"AR"	"ZA"	16	2020-10-04	-63.616672	-38.416097	22.937506	-30.559482
"91"	"AR"	"ZW"	1	2020-10-04	-63.616672	-38.416097	29.154857	-19.015438
"92"	"AT"	"BE"	2	2020-10-04	14.550072	47.516231	4.469936	50.503887
"93"	"AT"	"BR"	10	2020-10-04	14.550072	47.516231	-51.92528	-14.235004
"94"	"AT"	"CA"	3	2020-10-04	14.550072	47.516231	-106.346771	56.130366
"95"	"AT"	"CH"	11	2020-10-04	14.550072	47.516231	8.227512	46.818188
"96"	"AT"	"CN"	1	2020-10-04	14.550072	47.516231	104.195397	35.86166
"97"	"AT"	"DE"	25	2020-10-04	14.550072	47.516231	10.451526	51.165691
"98"	"AT"	"EG"	2	2020-10-04	14.550072	47.516231	30.802498	26.820553
"99"	"AT"	"ES"	1	2020-10-04	14.550072	47.516231	-3.74922	40.463667
"100"	"AT"	"FR"	5	2020-10-04	14.550072	47.516231	2.213749	46.227638
"101"	"AT"	"GB"	18	2020-10-04	14.550072	47.516231	-3.435973	55.378051
"102"	"AT"	"GP"	1	2020-10-04	14.550072	47.516231	-62.067641	16.995971
"103"	"AT"	"HK"	1	2020-10-04	14.550072	47.516231	114.109497	22.396428
"104"	"AT"	"HU"	1	2020-10-04	14.550072	47.516231	19.503304	47.162494
"105"	"AT"	"IE"	1	2020-10-04	14.550072	47.516231	-8.24389	53.41291
"106"	"AT"	"IL"	3	2020-10-04	14.550072	47.516231	34.851612	31.046051
"107"	"AT"	"IN"	5	2020-10-04	14.550072	47.516231	78.96288	20.593684
"108"	"AT"	"IR"	1	2020-10-04	14.550072	47.516231	53.688046	32.427908
"109"	"AT"	"IT"	27	2020-10-04	14.550072	47.516231	12.56738	41.87194
"110"	"AT"	"KR"	4	2020-10-04	14.550072	47.516231	127.766922	35.907757
"111"	"AT"	"LB"	1	2020-10-04	14.550072	47.516231	35.862285	33.854721
"112"	"AT"	"LI"	1	2020-10-04	14.550072	47.516231	9.555373	47.166
"113"	"AT"	"LU"	2	2020-10-04	14.550072	47.516231	6.129583	49.815273
"114"	"AT"	"MC"	1	2020-10-04	14.550072	47.516231	7.412841	43.750298
"115"	"AT"	"NL"	14	2020-10-04	14.550072	47.516231	5.291266	52.132633
"116"	"AT"	"NO"	5	2020-10-04	14.550072	47.516231	8.468946	60.472024
"117"	"AT"	"PK"	2	2020-10-04	14.550072	47.516231	69.345116	30.375321
"118"	"AT"	"PL"	5	2020-10-04	14.550072	47.516231	19.145136	51.919438
"119"	"AT"	"PT"	6	2020-10-04	14.550072	47.516231	-8.224454	39.399872
"120"	"AT"	"RO"	3	2020-10-04	14.550072	47.516231	24.96676	45.943161
"121"	"AT"	"RU"	5	2020-10-04	14.550072	47.516231	105.318756	61.52401
"122"	"AT"	"SA"	2	2020-10-04	14.550072	47.516231	45.079162	23.885942
"123"	"AT"	"SE"	16	2020-10-04	14.550072	47.516231	18.643501	60.128161
"124"	"AT"	"SI"	3	2020-10-04	14.550072	47.516231	14.995463	46.151241
"125"	"AT"	"SK"	1	2020-10-04	14.550072	47.516231	19.699024	48.669026
"126"	"AT"	"SN"	1	2020-10-04	14.550072	47.516231	-14.452362	14.497401
"127"	"AT"	"TR"	13	2020-10-04	14.550072	47.516231	35.243322	38.963745
"128"	"AT"	"TW"	2	2020-10-04	14.550072	47.516231	120.960515	23.69781
"129"	"AT"	"US"	114	2020-10-04	14.550072	47.516231	-95.712891	37.09024
"130"	"AT"	"UY"	1	2020-10-04	14.550072	47.516231	-55.765835	-32.522779
"131"	"AT"	"UZ"	1	2020-10-04	14.550072	47.516231	64.585262	41.377491
"132"	"AT"	"VN"	2	2020-10-04	14.550072	47.516231	108.277199	14.058324
"133"	"AT"	"ZA"	17	2020-10-04	14.550072	47.516231	22.937506	-30.559482
"134"	"AT"	"ZW"	1	2020-10-04	14.550072	47.516231	29.154857	-19.015438
"135"	"AU"	"BD"	12	2020-10-04	133.775136	-25.274398	90.356331	23.684994
"136"	"AU"	"BE"	4	2020-10-04	133.775136	-25.274398	4.469936	50.503887
"137"	"AU"	"BR"	7	2020-10-04	133.775136	-25.274398	-51.92528	-14.235004
"138"	"AU"	"CA"	16	2020-10-04	133.775136	-25.274398	-106.346771	56.130366
"139"	"AU"	"CG"	1	2020-10-04	133.775136	-25.274398	15.827659	-0.228021
"140"	"AU"	"CH"	8	2020-10-04	133.775136	-25.274398	8.227512	46.818188
"141"	"AU"	"CL"	3	2020-10-04	133.775136	-25.274398	-71.542969	-35.675147
"142"	"AU"	"CN"	86	2020-10-04	133.775136	-25.274398	104.195397	35.86166
"143"	"AU"	"DE"	10	2020-10-04	133.775136	-25.274398	10.451526	51.165691
"144"	"AU"	"DK"	10	2020-10-04	133.775136	-25.274398	9.501785	56.26392
"145"	"AU"	"EG"	1	2020-10-04	133.775136	-25.274398	30.802498	26.820553
"146"	"AU"	"ES"	3	2020-10-04	133.775136	-25.274398	-3.74922	40.463667
"147"	"AU"	"ET"	1	2020-10-04	133.775136	-25.274398	40.489673	9.145
"148"	"AU"	"FI"	2	2020-10-04	133.775136	-25.274398	25.748151	61.92411
"149"	"AU"	"FR"	14	2020-10-04	133.775136	-25.274398	2.213749	46.227638
"150"	"AU"	"GB"	108	2020-10-04	133.775136	-25.274398	-3.435973	55.378051
